draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3255,2017-04-06,Thursday,10,12,20,27,43,46,26,0,0,False
3256,2017-04-10,Monday,13,19,20,23,29,31,48,0,0,False
3257,2017-04-13,Thursday,7,9,16,27,32,47,36,0,0,False
3258,2017-04-17,Monday,12,17,25,28,36,44,3,0,0,False
3259,2017-04-20,Thursday,2,12,25,28,37,38,22,0,0,False
3260,2017-04-24,Monday,2,8,22,31,32,35,36,0,0,False
3261,2017-04-27,Thursday,4,7,15,31,32,43,37,0,0,False
3262,2017-05-01,Monday,8,17,24,29,32,45,14,0,0,False
3263,2017-05-04,Thursday,4,13,14,36,41,43,45,0,0,False
3264,2017-05-08,Monday,5,21,29,30,38,45,1,0,0,False
3265,2017-05-11,Thursday,8,9,12,18,27,45,13,0,0,False
3266,2017-05-15,Monday,8,14,16,23,24,27,5,0,0,False
3267,2017-05-18,Thursday,4,23,43,44,46,48,16,0,0,False
3268,2017-05-22,Monday,21,24,31,34,37,44,45,0,0,False
3269,2017-05-25,Thursday,3,8,11,32,44,46,12,0,0,False
3270,2017-05-29,Monday,13,15,16,27,36,47,24,0,0,False
3271,2017-06-01,Thursday,9,15,17,22,44,46,2,0,0,False
3272,2017-06-05,Monday,15,21,23,24,39,40,18,0,0,False
3273,2017-06-08,Thursday,5,7,22,25,34,40,1,0,0,False
3274,2017-06-12,Monday,9,10,19,21,23,43,15,0,0,False
3275,2017-06-15,Thursday,20,21,23,37,39,47,31,0,0,False
3276,2017-06-19,Monday,1,23,30,34,40,42,14,0,0,False
3277,2017-06-22,Thursday,4,5,12,20,47,49,25,0,0,False
3278,2017-06-26,Monday,14,20,21,23,25,37,15,0,0,False
3279,2017-06-29,Thursday,2,9,13,16,29,40,46,0,0,False
3280,2017-07-03,Monday,5,7,9,27,31,34,40,0,0,False
3281,2017-07-06,Thursday,2,4,7,26,40,47,35,0,0,False
3282,2017-07-10,Monday,11,16,31,35,46,48,41,0,0,False
3283,2017-07-13,Thursday,24,30,33,34,47,49,12,0,0,False
3284,2017-07-17,Monday,9,11,16,20,27,46,39,0,0,False
3285,2017-07-20,Thursday,8,11,35,39,41,43,13,0,0,False
